,Ratings,Full Review
0,5,It's very good to this price.....I really thankful to flipkart 😊😘.... it's very good experience with flipkart.... thank you...💙
1,5,"Seriously awwsm .. pls go for it without any hesitation.. the performance look wise so good budget friendly... Can be used for online class, online xms, browsing,and also for mid range games, basic level programming tally and all.. preferable to clg students"
2,5,Performance are too good and friendly budget and also I love to buy this product very happy to this thanks Flipkart for the lovely product ❤️☺️. I'll give 5 🌟🌟🌟🌟🌟💯
3,4,I am happy with this laptop. Good for basic use at home. Good for kid's use also. Battery is good - runs more than 4-5 hours. Not happy with Display and no caps lock and number log indicator light.
4,5,I have just received the laptop today and am very excited to use it.Must say that at this price range it's one of the best laptops to buy without thinking once.Must buy if you want a decent work laptop with good specifications at this price range.
5,1,Its my review after used after 5 months. Its not a valuable laptop for study or any smooth working purposes. Issues: 1. Connectivity issues I m facing now. Specially usb port. 2. Battary performance was well for first 3 months. After it drains quickly without any playing video or audio. Only pdf reading it running hardly 2 hrs. 3. web camera is very bad performing like 0.3mp. 4. The processor also very slow and sometimes its hanging that one can't move for other work. 5. In sunlight one ...
6,4,"it's quite good ,and one important thing to do while updating win 10 or download win 10 don't turn up your laptop it's quite risky when you download your update quickly install and restart it and we are thinking about display quality it's good you can also play video upto 4K on youtube but first of all I think display quality is very poor cause of TFT panel but wrong TFT panel is also good but not like that IPS .  When you use it for office work then download WPS office it's good and featur..."
7,5,"a god product for students, i'm writing this review after use of 1 month, if you use it only for online class and watching you tube then it's best for you & also its consumes less data if you setting in metered connection. so don't worry about data consumption.  pros- good battery back up & charging very fast, clear resolution screen and it's comes with a classy look  cons- a little bit slower, * It's takes 30-40 sec to open and after open it takes 3-5 sec to being ready to use and the ref..."
8,4,"It is worth laptop who like to prefer to attending online classes, watching movies, simple ms office works. It built quality was good and key board was average it is 180 degree screen rotation.when to talk about performance we can tell average and we unable to run multi apps at a time and it takes long time to restart when laptop is updated and it has average camera quality and when compare to other laptops it not have LAN support and main drawback was we don’t know if caps lock is on or off..."
9,3,"Writing this review after full 24 hours of putting this machine to grind. I bought this with a certain kind of apprehension, wondering the budget I had, the choice made after thorough research and the product chosen would cater to my needs or not? However, this piece of beauty is well equipped to go smoothly with my expectations of a big clear display, clear voice and word/pdf typing/reading works. A word of caution to the gamers though.. Don't go for this if you are into high end games. Othe..."
10,5,It's very good to this price.....I really thankful to flipkart 😊😘.... it's very good experience with flipkart.... thank you...💙
11,5,"Seriously awwsm .. pls go for it without any hesitation.. the performance look wise so good budget friendly... Can be used for online class, online xms, browsing,and also for mid range games, basic level programming tally and all.. preferable to clg students"
12,5,Performance are too good and friendly budget and also I love to buy this product very happy to this thanks Flipkart for the lovely product ❤️☺️. I'll give 5 🌟🌟🌟🌟🌟💯
13,4,I am happy with this laptop. Good for basic use at home. Good for kid's use also. Battery is good - runs more than 4-5 hours. Not happy with Display and no caps lock and number log indicator light.
14,5,I have just received the laptop today and am very excited to use it.Must say that at this price range it's one of the best laptops to buy without thinking once.Must buy if you want a decent work laptop with good specifications at this price range.
15,1,Its my review after used after 5 months. Its not a valuable laptop for study or any smooth working purposes. Issues: 1. Connectivity issues I m facing now. Specially usb port. 2. Battary performance was well for first 3 months. After it drains quickly without any playing video or audio. Only pdf reading it running hardly 2 hrs. 3. web camera is very bad performing like 0.3mp. 4. The processor also very slow and sometimes its hanging that one can't move for other work. 5. In sunlight one ...
16,4,"it's quite good ,and one important thing to do while updating win 10 or download win 10 don't turn up your laptop it's quite risky when you download your update quickly install and restart it and we are thinking about display quality it's good you can also play video upto 4K on youtube but first of all I think display quality is very poor cause of TFT panel but wrong TFT panel is also good but not like that IPS .  When you use it for office work then download WPS office it's good and featur..."
17,5,"a god product for students, i'm writing this review after use of 1 month, if you use it only for online class and watching you tube then it's best for you & also its consumes less data if you setting in metered connection. so don't worry about data consumption.  pros- good battery back up & charging very fast, clear resolution screen and it's comes with a classy look  cons- a little bit slower, * It's takes 30-40 sec to open and after open it takes 3-5 sec to being ready to use and the ref..."
